,width
2233,650
2234,324
2235,500
2236,300
2237,480
2238,625
2239,250
2240,384
2241,500
2242,480
2243,480
2244,500
2245,500
2246,245
2247,250
2248,768
2249,500
2250,500
2251,500
2252,480
2253,464
2254,160
2255,350
2256,245
2257,433
2258,200
2259,480
2260,240
2261,500
2262,220
2263,500
2264,480
2265,280
2266,600
2267,710
2268,600
2269,480
2270,500
2271,480
2272,720
2273,442
2274,412
2275,500
2276,500
2277,280
2278,319
2279,500
2280,300
2281,344
2282,540
2283,720
2284,500
2285,247
2286,350
2287,480
2288,336
2289,300
2290,540
2291,400
2292,480
2293,367
2294,400
2295,480
2296,267
2297,480
2298,1280
2299,500
2300,500
2301,868
2302,250
2303,426
2304,245
2305,358
2306,499
2307,500
2308,466
2309,500
2310,450
2311,750
2312,441
2313,650
2314,478
2315,480
2316,600
2317,500
2318,325
2319,500
2320,640
2321,320
2322,222
2323,308
2324,509
2325,480
2326,250
2327,250
2328,400
2329,528
2330,550
2331,500
2332,444
2333,350
2334,500
2335,330
2336,360
2337,400
2338,500
2339,500
2340,320
2341,500
2342,426
2343,500
2344,480
2345,320
2346,315
2347,480
2348,640
2349,320
2350,292
2351,720
2352,480
2353,500
2354,320
2355,500
2356,720
2357,500
2358,358
2359,355
2360,268
2361,540
2362,290
2363,300
2364,718
2365,500
2366,171
2367,339
2368,600
2369,480
2370,400
2371,498
2372,300
2373,480
2374,316
2375,550
2376,608
2377,460
2378,380
2379,200
2380,480
2381,400
2382,766
2383,463
2384,225
2385,360
2386,245
2387,352
2388,350
2389,640
2390,250
2391,640
2392,516
2393,640
2394,444
2395,444
2396,480
2397,480
2398,320
2399,530
2400,312
2401,200
2402,300
2403,360
2404,474
2405,600
2406,245
2407,480
2408,480
2409,480
2410,308
2411,250
2412,500
2413,320
2414,408
2415,410
2416,240
2417,320
2418,500
2419,247
2420,384
2421,464
2422,498
2423,498
2424,478
2425,380
2426,237
2427,450
2428,500
2429,245
2430,480
2431,400
2432,400
2433,467
2434,480
2435,280
2436,636
2437,500
2438,250
2439,460
2440,360
2441,531
2442,268
2443,470
2444,247
2445,500
2446,480
2447,370
2448,500
2449,400
2450,800
2451,500
2452,600
2453,200
2454,447
2455,405
2456,500
2457,300
2458,832
2459,244
2460,220
2461,480
2462,500
2463,750
2464,590
2465,498
2466,350
2467,500
2468,245
2469,480
2470,500
2471,245
2472,321
2473,480
2474,600
2475,510
2476,480
2477,500
2478,500
2479,500
2480,498
2481,480
2482,482
2483,480
2484,600
2485,320
2486,480
2487,500
2488,498
2489,498
2490,480
2491,480
2492,499
2493,500
2494,480
2495,300
2496,500
2497,897
2498,498
2499,498
2500,318
2501,300
2502,500
2503,457
2504,500
2505,515
2506,325
2507,245
2508,415
2509,480
2510,518
2511,160
2512,245
2513,728
2514,249
2515,245
2516,500
2517,267
2518,320
2519,480
2520,480
2521,500
2522,728
2523,480
2524,400
2525,500
2526,375
2527,245
2528,500
2529,1280
2530,200
2531,398
2532,466
2533,500
2534,200
2535,480
2536,360
2537,253
2538,320
2539,220
2540,378
2541,480
2542,600
2543,635
2544,480
2545,400
2546,411
2547,270
2548,533
2549,320
2550,245
2551,480
2552,291
2553,540
2554,480
2555,640
2556,400
2557,500
2558,500
2559,320
2560,514
2561,805
2562,500
2563,470
2564,360
2565,391
2566,480
2567,480
2568,480
2569,264
2570,405
2571,320
2572,480
2573,340
2574,277
2575,364
2576,480
2577,450
2578,500
2579,340
2580,200
2581,320
2582,200
2583,480
2584,600
2585,500
2586,480
2587,480
2588,274
2589,384
2590,480
2591,700
2592,500
2593,500
2594,480
2595,245
2596,480
2597,249
2598,468
2599,540
2600,340
2601,350
2602,498
2603,300
2604,400
2605,500
2606,245
2607,1024
2608,330
2609,500
2610,480
2611,640
2612,500
2613,500
2614,320
2615,500
2616,245
2617,480
2618,480
2619,480
2620,400
2621,500
2622,245
2623,260
2624,300
2625,333
2626,480
2627,320
2628,250
2629,1920
2630,480
2631,480
2632,245
2633,400
2634,360
2635,470
2636,500
2637,320
2638,480
2639,480
2640,448
2641,480
2642,200
2643,480
2644,307
2645,500
2646,275
2647,312
2648,640
2649,500
2650,365
2651,360
2652,498
2653,500
2654,350
2655,480
2656,480
2657,243
2658,508
2659,500
2660,339
2661,400
2662,600
2663,720
2664,460
2665,480
2666,250
2667,500
2668,480
2669,320
2670,403
2671,480
2672,255
2673,450
2674,384
2675,480
2676,280
2677,220
2678,245
2679,500
2680,378
2681,600
2682,464
2683,500
2684,480
2685,500
2686,320
2687,320
2688,500
2689,320
2690,300
2691,800
2692,480
2693,432
2694,650
2695,500
2696,200
2697,460
2698,500
2699,480
2700,480
2701,480
2702,371
2703,400
2704,400
2705,480
2706,500
2707,499
2708,480
2709,337
2710,900
2711,480
2712,210
2713,492
2714,500
2715,200
